apc_nosubsp,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,extra_reference,leafarea_mm2
Corymbia terminalis,8,20,1.2,3,NA,1960
Corymbia tessellaris,9,24,0.6,2.5,NA,1704.9999999999998
Corymbia torelliana,6,16,1.5,8.5,NA,3666.666666666666
Corymbia torta,7,17.5,0.7,2.5,NA,1306.6666666666665
Corymbia trachyphloia,6.5,14,0.9,2.6,NA,1195.8333333333333
Corymbia umbonata,9,23,0.8,2,NA,1493.333333333333
Corymbia watsoniana,9,26.5,1.8,7,NA,5206.666666666667
Corymbia xanthope,9,20,1,2.5,NA,1691.6666666666665
Corymbia zygophylla,6.5,14.5,1.8,6,NA,2730
Eucalyptus abdita,5.5,8,1.1,1.8,NA,652.5
Eucalyptus absita,7,11,1.5,4,NA,1649.9999999999998
Eucalyptus acaciiformis,5,13,1,2.2,NA,959.9999999999999
Eucalyptus accedens,8,18,1.2,3,NA,1819.9999999999998
Eucalyptus acies,8,13.5,2,4,NA,2149.9999999999995
Eucalyptus acmenoides,7,15.7,0.9,4,NA,1853.833333333333
Eucalyptus acroleuca,7,14,0.6,1.2,NA,629.9999999999999
Eucalyptus adesmophloia,5.5,12.5,1,2.5,NA,1049.9999999999998
Eucalyptus aequioperta,6,11,0.6,1.2,NA,509.99999999999994
Eucalyptus agglomerata,7,14,1.4,3,NA,1540.0000000000002
Eucalyptus aggregata,5,12,1,2.5,NA,991.6666666666666
Eucalyptus alaticaulis,12,30,2,4.5,https://vicflora.rbg.vic.gov.au/flora/taxon/67304361-0d92-458f-87fb-c9a9de127c74,4550
Eucalyptus alatissima,5.5,13,1,3,NA,1233.3333333333333
Eucalyptus alba,8,18.5,2.5,4.5,NA,3091.6666666666665
Eucalyptus albens,7,16.5,1.7,4.3,NA,2350
Eucalyptus albida,5,7.5,0.5,1.7,NA,458.3333333333333
Eucalyptus albopurpurea,7,14,1.2,3,NA,1470
Eucalyptus alipes,3,7.5,0.4,1.1,NA,262.5
Eucalyptus alligatrix,4.8,20,0.7,4.7,NA,2231.9999999999995
Eucalyptus ammophila,6,13.5,1.3,2.5,NA,1235
Eucalyptus amplifolia,7.5,25,1.3,7,NA,4495.833333333333
Eucalyptus amygdalina,5.5,12,0.4,1.2,NA,466.66666666666663
Eucalyptus ancophila,9,20,1.8,4.8,NA,3189.9999999999995
Eucalyptus andrewsii,9,17,1,3.2,NA,1819.9999999999998
Eucalyptus angophoroides,8,25,1.4,4.3,NA,3134.999999999999
Eucalyptus angularis,5.5,10,1.5,1.7,NA,826.6666666666666
Eucalyptus angulosa,5,14,1.7,5,NA,2121.6666666666665
Eucalyptus angustissima,7,11.5,0.15,0.3,NA,138.74999999999997
Eucalyptus annettae,9,13,2,5,NA,2566.6666666666665
Eucalyptus annulata,6,11.5,0.7,1.7,NA,699.9999999999999
Eucalyptus annuliformis,4,6.5,1,1.7,NA,472.50000000000006
