apc_nosubsp,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,extra_reference,leafarea_mm2
Eucalyptus hebetifolia,5.2,9,0.9,2.2,NA,733.6666666666665
Eucalyptus helidonica,6,15.5,0.9,2.5,NA,1218.333333333333
Eucalyptus herbertiana,8,22,1,2.2,NA,1600
Eucalyptus histophylla,6.5,12.5,0.6,1.6,NA,696.6666666666666
Eucalyptus horistes,4.5,9.5,0.4,1.5,NA,443.33333333333326
Eucalyptus houseana,9,19,2,3.6,NA,2613.333333333333
Eucalyptus howittiana,7,13,1.6,4.2,NA,1933.333333333333
Eucalyptus hypolaena,8,16,1.3,3,NA,1720
Eucalyptus hypostomatica,8,18,1,3,NA,1733.333333333333
Eucalyptus ignorabilis,7,20,1,3,NA,1799.9999999999998
Eucalyptus imitans,5,13,1.5,3.5,NA,1499.9999999999998
Eucalyptus imlayensis,7.5,15,1.5,3,NA,1687.5
Eucalyptus incerata,5,10.5,1,3.2,NA,1085
Eucalyptus incrassata,5,15,1,3,NA,1333.333333333333
Eucalyptus indurata,6.3,10.5,1,2.2,NA,896
Eucalyptus infera,6,11,1.7,4,NA,1615
Eucalyptus insularis,1.8,6.8,0.4,0.9,NA,186.33333333333331
Eucalyptus interstans,8,18,1,3.2,NA,1819.9999999999998
Eucalyptus intertexta,5,16,0.8,2.5,NA,1155
Eucalyptus jacksonii,6,9.5,1.2,2.5,NA,955.8333333333333
Eucalyptus jensenii,4.3,11.5,0.7,3,NA,974.3333333333333
Eucalyptus jimberlanica,4.5,9,0.5,1.8,"Johnson, Lawrence A.S.; Hill, Kenneth D. (1991). ""Systematic studies in the eucalypts - 2. A revision of the gimlets and related species: Eucalyptus extracidical series Salubres and Annulatae (Myrtaceae)"". Telopea. 4 (2): 208Ð209.",517.4999999999999
Eucalyptus johnsoniana,5.5,10.5,0.8,2,NA,746.6666666666665
Eucalyptus johnstonii,6.5,15,2,4,NA,2149.9999999999995
Eucalyptus jucunda,6,12,1,2,NA,899.9999999999998
Eucalyptus jutsonii,7,15,0.1,0.6,NA,256.66666666666663
Eucalyptus kabiana,6,15,1,2.3,NA,1155
Eucalyptus kartzoffiana,8,26.5,1.2,3.6,NA,2759.9999999999995
Eucalyptus kenneallyi,6,11,0.7,2,NA,765
Eucalyptus kessellii,7,14.5,1.5,4,NA,1970.833333333333
Eucalyptus kingsmillii,5.5,13,1,3.6,NA,1418.333333333333
Eucalyptus kitsoniana,4.5,20,1.5,5.5,NA,2858.333333333333
Eucalyptus kochii,5.5,14,0.5,1.7,NA,715.0000000000001
Eucalyptus kondininensis,6,11,0.6,1.5,NA,595
Eucalyptus koolpinensis,4,10,3.5,8.5,NA,2800
Eucalyptus kruseana,1,2.5,1,2.5,NA,204.16666666666666
Eucalyptus kumarlensis,6,11,0.4,1,NA,396.66666666666663
Eucalyptus kybeanensis,5,11,0.5,1.5,NA,533.3333333333333
Eucalyptus lacrimans,7,18,0.7,3,NA,1541.6666666666665
Eucalyptus laeliae,8.5,13.5,1,2.5,NA,1283.3333333333333
Eucalyptus laevis,6.5,10.5,0.5,1,NA,425
Eucalyptus laevopinea,7,20,1.4,4,NA,2430
Eucalyptus lane-poolei,6.5,10,1,1.7,NA,742.4999999999999
Eucalyptus langleyi,8,16.5,1.8,5,NA,2776.666666666666
Eucalyptus lansdowneana,8.5,15.5,1.5,2.7,NA,1680
Eucalyptus largeana,11,19,0.8,2,NA,1399.9999999999998
Eucalyptus largiflorens,6,18,0.8,2,NA,1120
Eucalyptus latens,4,9.5,0.5,0.8,NA,292.5
Eucalyptus latisinensis,6,16,1,4,NA,1833.333333333333
Eucalyptus lehmannii,3.5,8,0.7,2.7,NA,651.6666666666666
Eucalyptus leprophloia,7,10.5,1.5,3,NA,1312.4999999999998
Eucalyptus leptocalyx,7.5,12,1,2.8,NA,1235
Eucalyptus leptophleba,10,25,1.2,3,NA,2450
Eucalyptus leptophylla,3,9,0.3,1.3,NA,320
Eucalyptus leptopoda,6.5,12.5,0.3,1.5,NA,570
Eucalyptus lesouefii,8.8,18.7,1,2.7,NA,1695.833333333333
Eucalyptus leucophloia,4,9,0.9,3.5,NA,953.3333333333333
Eucalyptus leucophylla,8,14,1.2,2.6,NA,1393.333333333333
Eucalyptus leucoxylon,4.8,20,0.8,5.2,NA,2479.9999999999995
Eucalyptus ligulata,3.5,8.5,0.7,2,NA,540
Eucalyptus ligustrina,3,10,0.5,2,NA,541.6666666666665
Eucalyptus limitaris,7,25,1,3.5,NA,2399.9999999999995
Eucalyptus lirata,6.5,14,0.7,2.6,NA,1127.4999999999998
Eucalyptus litoralis,12,21,2,3.3,NA,2914.999999999999
Eucalyptus litorea,5.5,12,0.8,2.5,NA,962.4999999999998
Eucalyptus livida,7,11.5,1,2.5,NA,1079.1666666666665
Eucalyptus lockyeri,8,19,0.8,3.5,NA,1934.9999999999998
Eucalyptus longicornis,6,13,0.6,1.3,NA,601.6666666666665
Eucalyptus longifolia,9,25,0.8,3.5,NA,2436.6666666666665
Eucalyptus longirostrata,8,18,1.3,3.5,NA,2079.9999999999995
Eucalyptus longissima,5.5,11,0.7,1.6,NA,632.4999999999998
Eucalyptus loxophleba,7,16,1,3.3,NA,1648.333333333333
Eucalyptus lucasii,8,15,1,3,NA,1533.333333333333
Eucalyptus lucens,5.3,14,0.8,2.1,NA,932.8333333333334
Eucalyptus luculenta,6,16,1.5,3.5,NA,1833.333333333333
Eucalyptus luehmanniana,10,20,2,4.5,NA,3249.9999999999995
Eucalyptus luteola,6,9.5,0.8,1.5,NA,594.1666666666666
Eucalyptus macarthurii,9,18,1,2.5,NA,1574.9999999999998
Eucalyptus mackintii,8.5,23,1.7,5.5,NA,3779.999999999999
Eucalyptus macrandra,5.5,12.2,1,2.5,NA,1032.4999999999998
Eucalyptus macrocarpa,5.5,13.5,3.5,8.5,NA,3799.9999999999995
Eucalyptus macrorhyncha,7,15,1.2,3.8,NA,1833.333333333333
Eucalyptus magnificata,5,15,3,6.5,NA,3166.666666666666
Eucalyptus major,9,20,2,4,NA,2899.9999999999995
Eucalyptus malacoxylon,9,30,2,4,NA,3900
Eucalyptus mannensis,6.3,14,0.5,2.3,NA,947.333333333333
Eucalyptus mannifera,5.5,18.5,1,3,NA,1600
Eucalyptus marginata,5.5,12.5,1,3,NA,1199.9999999999998
Eucalyptus mckieana,6,11.5,1,2.2,NA,933.3333333333333
Eucalyptus mcquoidii,4.5,8,0.5,1,NA,312.5
Eucalyptus mediocris,6,17,1,2.5,NA,1341.6666666666665
Eucalyptus megacarpa,7,14,1.5,3.3,NA,1680
Eucalyptus megacornuta,6,10,1,2.5,NA,933.3333333333333
Eucalyptus megasepala,10.5,19.5,1.5,3,NA,2249.9999999999995
Eucalyptus melanoleuca,8.5,14.5,1.5,3.5,NA,1916.6666666666663
Eucalyptus melanophitra,5.8,9.5,0.9,1.5,NA,612
Eucalyptus melanophloia,3.5,9,2,5.3,NA,1520.8333333333333
Eucalyptus melanoxylon,7.2,11,0.7,1.2,NA,576.3333333333331
Eucalyptus melliodora,6,14,0.8,3,NA,1266.6666666666663
Eucalyptus merrickiae,5,8.5,0.4,0.8,NA,270
Eucalyptus michaeliana,9,18,1,2.3,NA,1484.9999999999998
Eucalyptus micranthera,6,11.5,0.8,2.5,NA,962.4999999999998
Eucalyptus microcarpa,6,15,1,3,NA,1400
Eucalyptus microcorys,6,15,1.5,3.5,NA,1750
Eucalyptus microneura,5,11,1.6,3,NA,1226.6666666666663
Eucalyptus microschema,5.5,11,0.5,1,NA,412.4999999999999
Eucalyptus microtheca,5,19.5,0.6,3,NA,1469.9999999999998
Eucalyptus mimica,3.5,8.5,0.4,0.9,NA,260
Eucalyptus miniata,7,16,2.5,4.5,NA,2683.333333333333
Eucalyptus minniritchi,1.8,4.6,1,3.5,"Nicolle, Dean (1997). ""Notes on Eucalyptus series Orbifoliae (Myrtaceae) including a new species from central Australia"". Nuytsia. 13 (3): 489Ð492. Retrieved 8 November 2019.",479.9999999999999
Eucalyptus misella,4,8.5,0.8,1.5,NA,479.1666666666666
Eucalyptus mitchelliana,7.5,15,0.6,2,NA,975
Eucalyptus moderata,5,13,1,2.2,NA,959.9999999999999
Eucalyptus moluccana,7,17,1.5,6.5,NA,3200
Eucalyptus mooreana,6,13,3,8,NA,3483.333333333333
Eucalyptus moorei,3,11,0.3,1.3,NA,373.3333333333333
Eucalyptus morrisbyi,4.7,10,1.5,4,NA,1347.4999999999998
Eucalyptus morrisii,5.5,14.5,0.8,2.1,NA,966.6666666666665
Eucalyptus muelleriana,8,20,1.5,4.5,NA,2800
Eucalyptus multicaulis,7,15,1.4,3,NA,1613.3333333333333
Eucalyptus myriadena,5,10,0.6,1.2,NA,449.9999999999999
Eucalyptus nandewarica,5,15,0.8,3,NA,1266.6666666666663
Eucalyptus nebulosa,4.5,11,0.8,1.5,NA,594.1666666666666
Eucalyptus neglecta,7,18,2.4,9,NA,4750
Eucalyptus neutra,5,11,1,2,NA,799.9999999999999
Eucalyptus newbeyi,4,8,0.5,1.5,NA,400
Eucalyptus nicholii,6,14,0.5,1.2,NA,566.6666666666665
Eucalyptus nigrifunda,6,11,0.7,1.5,NA,623.3333333333334
Eucalyptus nitens,10,30,1.5,4,NA,3666.666666666666
Eucalyptus nitida,5.5,13,0.6,1.7,NA,709.1666666666665
Eucalyptus nobilis,8.5,21,1,3,NA,1966.6666666666665
Eucalyptus normantonensis,5,11,0.7,2,NA,720
Eucalyptus nortonii,8.5,30,1.5,4,NA,3529.166666666666
Eucalyptus notabilis,7,19,1.5,3.3,NA,2079.9999999999995
Eucalyptus notactites,7.5,15,1.5,4,NA,2062.5
Eucalyptus nova-anglica,9,19,1.2,2.5,NA,1726.6666666666665
Eucalyptus nudicaulis,7,18,1,2,NA,1250
Eucalyptus nutans,2.4,7,2.5,6,NA,1331.6666666666665
Eucalyptus obconica,6,15.5,0.5,2,NA,895.8333333333331
Eucalyptus obesa,6.5,10.5,0.8,2,NA,793.3333333333333
Eucalyptus obliqua,6,22,1.5,7,NA,3966.6666666666665
Eucalyptus obtusiflora,7,13,1,2.5,NA,1166.6666666666665
Eucalyptus occidentalis,6.5,16,1,3.5,NA,1687.5
Eucalyptus ochrophloia,7,20,1,2.5,NA,1574.9999999999998
Eucalyptus odontocarpa,9,15,0.5,1.8,NA,919.9999999999999
Eucalyptus odorata,5.5,14,0.6,2,NA,845
Eucalyptus oldfieldii,6.3,11.5,0.9,2.5,NA,1008.6666666666665
Eucalyptus oleosa,5,11,0.5,2,NA,666.6666666666665
Eucalyptus olida,7,18.5,0.9,2.6,NA,1487.4999999999998
Eucalyptus oligantha,6.5,19,5,21.3,NA,11177.499999999998
Eucalyptus olivina,3.5,8.5,0.3,1,NA,260
Eucalyptus olsenii,5,12,1,2,NA,850
Eucalyptus ophitica,7.8,17,1.7,2.5,NA,1735.9999999999998
Eucalyptus opimiflora,5.5,12,0.8,2,NA,816.6666666666665
Eucalyptus optima,8,17.5,1.5,3.4,NA,2082.5
Eucalyptus oraria,6.5,10,0.8,2.3,NA,852.4999999999998
Eucalyptus orbifolia,2.5,5,1.3,5,NA,787.4999999999999
Eucalyptus ordiana,6,9,2,8,NA,2499.9999999999995
Eucalyptus oreades,7.5,18,1,3.2,NA,1784.9999999999998
Eucalyptus orgadophila,6.5,18,1,2.5,NA,1429.1666666666665
Eucalyptus ornata,7,12,1,2,NA,949.9999999999999
Eucalyptus orthostemon,3,5.5,0.2,0.5,NA,99.16666666666666
Eucalyptus ovata,7.5,18,1.6,6,NA,3229.9999999999995
Eucalyptus ovularis,6,10,0.5,1,NA,399.99999999999994
Eucalyptus oxymitra,5.5,12.5,1.5,4,NA,1649.9999999999998
Eucalyptus pachycalyx,6,17,1.2,2.5,NA,1418.333333333333
Eucalyptus pachyloma,5.8,10.8,0.7,1.3,NA,553.3333333333334
Eucalyptus pachyphylla,6,11.5,2,4.5,NA,1895.833333333333
Eucalyptus paedoglauca,8,14,1.7,3.2,NA,1796.6666666666665
Eucalyptus paliformis,7,13,0.9,2,NA,966.6666666666664
Eucalyptus paludicola,8,21,2,4,NA,2899.9999999999995
Eucalyptus panda,5,11,0.8,2.2,NA,799.9999999999999
Eucalyptus paniculata,5,18,1.2,3.7,NA,1878.333333333333
Eucalyptus pantoleuca,9,15,7,16,NA,9200
Eucalyptus parramattensis,7,20,1.2,3,NA,1889.9999999999998
Eucalyptus parvula,3,8,0.5,1.5,NA,366.66666666666663
Eucalyptus patellaris,9.5,27,1.3,3.5,NA,2919.9999999999995
Eucalyptus patens,8,17,1.5,3,NA,1874.9999999999998
Eucalyptus pauciflora,5,20,1,5,NA,2500
Eucalyptus pellita,10,23,3,6.5,NA,5224.999999999999
Eucalyptus pendens,5.5,10,1,1.8,NA,723.3333333333333
Eucalyptus peninsularis,7,13,1,2.3,NA,1099.9999999999998
Eucalyptus perangusta,4,8,0.2,0.5,NA,140
Eucalyptus percostata,7,12,1.2,2.5,NA,1171.6666666666665
Eucalyptus perriniana,7,16.5,1.2,5.2,NA,2506.6666666666665
Eucalyptus persistens,7,14,0.7,2,NA,945.0000000000001
Eucalyptus petiolaris,8.5,15,1.2,2.5,NA,1449.1666666666665
Eucalyptus petraea,8,14.5,1.5,3.5,NA,1875
Eucalyptus petrensis,7,12.7,1,2.8,NA,1247.6666666666663
Eucalyptus phaenophylla,4.3,8,0.7,2,NA,553.5
Eucalyptus phenax,5,12,0.8,3.5,NA,1218.3333333333333
Eucalyptus phoenicea,6.5,14,1.2,3,NA,1435
Eucalyptus pilbarensis,6,11.7,1,2.2,NA,943.9999999999999
Eucalyptus pileata,6.5,14,0.7,2.5,NA,1093.3333333333333
Eucalyptus pilularis,7.5,17,1.2,3.2,NA,1796.6666666666665
Eucalyptus pimpiniana,6.5,14,1.7,3.3,NA,1708.333333333333
Eucalyptus piperita,7,20,1.2,4.7,NA,2655
Eucalyptus placita,6,12,1.5,3.5,NA,1499.9999999999998
Eucalyptus planchoniana,8,26,1.5,3.5,NA,2833.333333333333
Eucalyptus platycorys,7,14,0.8,2.3,NA,1084.9999999999998
Eucalyptus platydisca,6.2,12.3,0.7,1.8,NA,770.8333333333333
Eucalyptus platyphylla,5,21,3.5,12,NA,6716.666666666665
Eucalyptus platypus,3,8.2,1.5,4,NA,1026.6666666666665
Eucalyptus pleurocarpa,4.5,14,2.5,7,NA,2929.1666666666665
Eucalyptus pluricaulis,5,10.5,0.7,2.5,NA,826.6666666666666
Eucalyptus polita,7,12,0.7,1.5,NA,696.6666666666666
Eucalyptus polyanthemos,3,15.5,1.5,6.3,NA,2405
Eucalyptus polybractea,6,17,0.4,2,NA,919.9999999999998
Eucalyptus populnea,4,11,1.8,5,NA,1699.9999999999998
Eucalyptus porosa,5,12,0.8,2.3,NA,878.3333333333331
Eucalyptus praetermissa,5,10,1,2,NA,749.9999999999999
Eucalyptus prava,5.5,16,1.5,3.7,NA,1863.333333333333
Eucalyptus preissiana,6.2,13.5,2.5,7.3,NA,3217.666666666666
Eucalyptus prolixa,6,9.5,0.7,1.4,NA,542.4999999999999
Eucalyptus prominens,8,14.5,0.7,2.2,NA,1087.5000000000002
Eucalyptus propinqua,6,17,1.5,2.5,NA,1533.333333333333
Eucalyptus protensa,5,12.5,0.7,1.7,NA,699.9999999999999
Eucalyptus provecta,6.5,13,0.8,2,NA,909.9999999999999
Eucalyptus proxima,4.7,8.5,1.5,2.3,NA,835.9999999999999
Eucalyptus pruiniramis,8.5,12.5,1.5,3.3,NA,1680
Eucalyptus pruinosa,4.7,16,2.2,10.5,NA,4381.499999999999
Eucalyptus psammitica,7,18,1.2,3,NA,1750
Eucalyptus pterocarpa,8,13.5,1.5,2.5,NA,1433.333333333333
Eucalyptus pulchella,3.3,12,0.3,1,NA,331.5
Eucalyptus pulverulenta,1.5,10,2,5,NA,1341.6666666666665
Eucalyptus pumila,5,16,1,3,NA,1400
Eucalyptus punctata,6,18,1.4,3.7,NA,2039.9999999999998
Eucalyptus purpurata,4.5,9.5,0.6,1.6,NA,513.3333333333334
Eucalyptus pyriformis,5.5,9.5,1.5,3,NA,1124.9999999999998
Eucalyptus pyrocarpa,9,24,1.5,4,NA,3024.9999999999995
Eucalyptus quadrangulata,10.5,19,1,2.2,NA,1573.3333333333333
Eucalyptus quadrans,5.5,10.5,0.5,1.5,NA,533.3333333333333
Eucalyptus quadricostata,8,18,1.2,3.6,NA,2079.9999999999995
Eucalyptus quaerenda,5.5,9,0.4,0.7,NA,265.8333333333333
Eucalyptus racemosa,6.5,20,1,3.5,NA,1987.4999999999998
Eucalyptus radiata,4.5,18,0.6,2.7,NA,1237.5
Eucalyptus rameliana,5,11,2.3,5,NA,1946.6666666666663
Eucalyptus raveretiana,8,17.2,1,3.5,NA,1889.9999999999998
Eucalyptus ravida,5.8,13,0.8,2.3,NA,971.3333333333331
Eucalyptus recta,7,14.5,1,2.3,NA,1182.4999999999998
Eucalyptus recurva,1,3.2,0.4,0.8,NA,84.00000000000001
Eucalyptus redunca,5,7.5,0.7,2.5,NA,666.6666666666666
Eucalyptus regnans,9,23,1.5,5,NA,3466.666666666666
Eucalyptus relicta,8.8,18,1.5,3,NA,2009.9999999999998
Eucalyptus remota,7.5,15,2,4,NA,2250
Eucalyptus repullulans,6.2,13.5,1,2.8,NA,1247.6666666666663
Eucalyptus resinifera,6,18,1.3,3.6,NA,1960.0000000000002
Eucalyptus retinens,9,30,1,4,NA,3250
Eucalyptus retusa,3,5.5,1.4,2.1,NA,495.8333333333333
Eucalyptus rhodantha,4.5,9,3,7.5,NA,2362.4999999999995
Eucalyptus rhombica,9,15,1.5,3.5,NA,2000
Eucalyptus rhomboidea,8,15.5,1.5,3.5,NA,1958.333333333333
Eucalyptus rigens,6.5,12.5,1,2.2,NA,1013.3333333333333
Eucalyptus rigidula,4.7,10,0.4,1.7,NA,514.5
Eucalyptus risdonii,2,10,2,5,NA,1400
Eucalyptus robusta,8.5,17,2.5,7,NA,4037.4999999999995
Eucalyptus rodwayi,5,13.5,0.7,2,NA,832.5
Eucalyptus rosacea,6,12,0.5,1,NA,449.9999999999999
Eucalyptus rossii,5.5,15,0.8,2.5,NA,1127.4999999999998
Eucalyptus rowleyi,7.5,14.7,1,2.5,NA,1294.9999999999998
Eucalyptus roycei,6.5,14,1.8,3,NA,1639.9999999999998
Eucalyptus rubida,8,22,0.8,3.4,NA,2100
Eucalyptus rubiginosa,7,15,1,3,NA,1466.6666666666665
Eucalyptus rudderi,7,13,1.2,2.5,NA,1233.333333333333
Eucalyptus rudis,7,18,1,3.5,NA,1874.9999999999998
Eucalyptus rugosa,5,12,0.7,3,NA,1048.3333333333333
Eucalyptus rugulata,7.5,11,1.3,2.3,NA,1109.9999999999998
Eucalyptus rummeryi,8,17,1,3,NA,1666.6666666666665
Eucalyptus rupestris,3.7,7.5,1,2.5,NA,653.3333333333333
Eucalyptus sabulosa,7.5,16,1,2,NA,1175
Eucalyptus salicola,3.5,10.5,0.4,1.2,NA,373.3333333333333
Eucalyptus saligna,9,19,1.5,4,NA,2566.6666666666665
Eucalyptus salmonophloia,6,12,0.6,1.7,NA,689.9999999999998
Eucalyptus salubris,6.5,10.5,0.7,1.5,NA,623.3333333333334
Eucalyptus sargentii,4.5,12.5,0.5,1.4,NA,538.3333333333333
Eucalyptus saxatilis,5.5,20,0.7,2,NA,1147.5
Eucalyptus scias,7,20,2,6,NA,3599.9999999999995
Eucalyptus scoparia,6,16,0.5,1.5,NA,733.3333333333333
Eucalyptus scopulorum,6,11,1.5,3.8,NA,1501.6666666666665
Eucalyptus scyphocalyx,6,10.5,1,2,https://en.wikipedia.org/wiki/Eucalyptus_scyphocalyx,824.9999999999998
Eucalyptus seeana,5,20,1,2.5,NA,1458.3333333333333
Eucalyptus semiglobosa,7.5,15,1.7,3.8,NA,2062.5
Eucalyptus semota,6,9,0.4,1.2,NA,400
Eucalyptus sepulcralis,5,11.5,0.8,1.3,NA,577.4999999999999
Eucalyptus serraensis,5,13,2,7,NA,2699.9999999999995
Eucalyptus sessilis,6,15,1.7,6.2,NA,2765
Eucalyptus sheathiana,7.5,13.3,0.8,1.8,NA,901.3333333333333
Eucalyptus shirleyi,5,13,3,8,NA,3299.9999999999995
Eucalyptus sicilifolia,6.5,12,0.7,1.6,NA,709.1666666666665
Eucalyptus siderophloia,8.5,17.5,1.5,3,NA,1949.9999999999995
Eucalyptus sideroxylon,5,14,1,4,NA,1583.333333333333
Eucalyptus sieberi,8.5,19.5,1.2,3.8,NA,2333.333333333333
Eucalyptus similis,8.5,18,1,3.5,NA,1987.4999999999998
Eucalyptus singularis,5.5,13,0.6,2,NA,801.6666666666666
Eucalyptus sinuosa,5,7.5,0.4,0.7,NA,229.16666666666666
Eucalyptus smithii,6,21,0.7,1.6,NA,1034.9999999999998
Eucalyptus socialis,5,14,1,3,NA,1266.6666666666665
Eucalyptus sp. Kalbarri (M.I.H.Brooker 7937),6.5,10.5,0.8,1.5,NA,651.6666666666666
Eucalyptus sp. Mulga Rock (K.D.Hill & L.A.S.Johnson KH 2668),4,7.5,0.4,0.8,NA,230
Eucalyptus sp. Southern wheatbelt (D.Nicolle & M.French DN 5507),5.5,10.5,0.9,2.2,NA,826.6666666666666
Eucalyptus sparsa,7,10,1.3,2.5,NA,1076.6666666666665
Eucalyptus sparsifolia,7,13.5,1,2.2,NA,1093.3333333333333
Eucalyptus spathulata,3.5,9.5,0.2,0.7,NA,194.99999999999994
Eucalyptus sphaerocarpa,7.5,15,1.2,3.5,NA,1762.5
Eucalyptus splendens,10,25,1.5,2.5,NA,2333.333333333333
Eucalyptus sporadica,5,10,0.8,1.8,NA,650
Eucalyptus spreta,7,13,0.7,2,NA,899.9999999999999
Eucalyptus squamosa,6,13,0.9,2,NA,918.3333333333331
Eucalyptus staeri,8,12.5,1.8,3.5,NA,1810.833333333333
Eucalyptus staigeriana,4,11,1.2,3.2,NA,1100
Eucalyptus steedmanii,3,8.5,0.6,1.5,NA,402.49999999999994
Eucalyptus stellulata,4.7,11,0.9,3.2,NA,1072.8333333333333
Eucalyptus stenostoma,9,19.5,1,3,NA,1899.9999999999998
Eucalyptus stoatei,5,8,1.7,3.5,NA,1126.6666666666665
Eucalyptus stowardii,6,13.8,1.2,3.3,NA,1485
Eucalyptus striaticalyx,8,15,0.7,2.5,NA,1226.6666666666665
Eucalyptus stricklandii,10.5,18.5,2,3,NA,2416.666666666666
Eucalyptus stricta,6,11,0.6,1.6,NA,623.3333333333334
Eucalyptus strzeleckii,7.5,21.5,1.4,3.3,NA,2271.666666666666
Eucalyptus sturgissiana,5,10,0.7,1.2,NA,474.99999999999994
Eucalyptus subangusta,4.5,12,0.5,1.8,NA,632.4999999999998
Eucalyptus subcrenulata,5.2,13.5,2,4.5,NA,2025.833333333333
Eucalyptus suberea,5.5,10,0.8,1.7,NA,645.8333333333333
Eucalyptus subtilis,4.5,8,0.3,0.7,NA,208.33333333333331
Eucalyptus suffulgens,8,16,1.5,2.5,NA,1600
Eucalyptus suggrandis,3.3,8.5,0.3,2.5,NA,550.6666666666666
Eucalyptus surgens,5,11.5,1,2.2,NA,879.9999999999999
Eucalyptus sweedmaniana,16.5,26.3,4.5,6.7,NA,7989.333333333332
Eucalyptus synandra,10,17,0.5,1,NA,674.9999999999999
Eucalyptus talyuberlup,4.5,10.5,0.6,2,NA,650
Eucalyptus tardecidens,7.5,15,0.8,2.5,NA,1237.5
Eucalyptus taurina,7.5,15,1.5,3,NA,1687.5
Eucalyptus tectifica,9,22.5,0.9,3,NA,2047.4999999999995
Eucalyptus tenella,5,15,0.5,2,NA,833.3333333333331
Eucalyptus tenera,4,9,0.7,2.5,NA,693.3333333333333
Eucalyptus tenuipes,5,13.5,0.8,2,NA,863.3333333333333
Eucalyptus tenuiramis,5.5,13,1,2.5,NA,1079.1666666666665
Eucalyptus tenuis,6.2,11,0.7,1.5,NA,630.6666666666666
Eucalyptus tephroclada,5,10,0.9,1.5,NA,599.9999999999999
Eucalyptus tephrodes,7,19,1,4.7,NA,2469.9999999999995
Eucalyptus terebra,6,9.5,0.5,1.2,NA,439.16666666666663
Eucalyptus tereticornis,8,22,1,3.5,NA,2249.9999999999995
Eucalyptus terrica,7.5,13,0.9,1.7,NA,888.3333333333333
Eucalyptus tetrapleura,8,20,1.7,3.4,NA,2379.9999999999995
Eucalyptus tetraptera,9,20,2.8,7.5,NA,4978.333333333333
Eucalyptus tetrodonta,9,24,1,3.5,NA,2474.9999999999995
Eucalyptus thamnoides,5,12.5,0.8,2.2,NA,874.9999999999999
Eucalyptus tholiformis,7.5,14,1.2,3,NA,1504.9999999999998
Eucalyptus thozetiana,5,14,0.5,1.5,NA,633.3333333333333
Eucalyptus tindaliae,6,14,1.2,3.7,NA,1633.333333333333
Eucalyptus tintinnans,5.5,11,3.5,6,NA,2612.4999999999995
Eucalyptus todtiana,8,12.5,1.5,2.2,NA,1264.1666666666665
Eucalyptus torquata,8,11.5,1.3,2,NA,1072.5
Eucalyptus tortilis,5.5,9.5,0.7,1.8,NA,624.9999999999999
Eucalyptus transcontinentalis,5,15,0.8,2,NA,933.333333333333
Eucalyptus tricarpa,8,22,1,2.6,NA,1799.9999999999998
Eucalyptus triflora,7,16,0.8,3,NA,1456.6666666666663
Eucalyptus trivalva,5,14,0.8,2.8,NA,1139.9999999999998
Eucalyptus tumida,6,10,1.2,2.5,NA,986.6666666666666
Eucalyptus ultima,5.5,10.5,0.5,1.2,NA,453.33333333333326
Eucalyptus umbra,6,18,1.5,4.5,NA,2400
Eucalyptus umbrawarrensis,6,12,0.6,2.2,NA,839.9999999999999
Eucalyptus uncinata,6.5,11.5,1,2.5,NA,1049.9999999999998
Eucalyptus urna,6,14,0.8,2.2,NA,999.9999999999998
Eucalyptus urnigera,3.5,9,1,2.8,NA,791.6666666666665
Eucalyptus utilis,4.5,8,1,3,NA,833.3333333333333
Eucalyptus valens,9,15.5,1.5,3.5,NA,2041.6666666666663
Eucalyptus varia,4.8,9,0.5,2,NA,575
Eucalyptus vegrandis,3.7,7.5,0.4,2.5,NA,541.3333333333333
Eucalyptus vernicosa,1,3.2,0.8,1.5,NA,161
Eucalyptus verrucata,5.5,12,2.5,9,NA,3354.166666666666
Eucalyptus vesiculosa,5,7,2.5,4,NA,1300
Eucalyptus vicina,5.5,16,0.7,2.7,NA,1218.3333333333333
Eucalyptus victoriana,7.2,15,2,5.5,NA,2774.9999999999995
Eucalyptus victrix,9,15,0.8,2.5,NA,1320
Eucalyptus viminalis,6,23.2,0.8,3,NA,1849.333333333333
Eucalyptus virens,5.5,11,0.9,2,NA,797.4999999999998
Eucalyptus virginea,7,11,1.3,2.5,NA,1139.9999999999998
Eucalyptus viridis,5,13,0.3,1.5,NA,539.9999999999999
Eucalyptus vittata,7,15,0.7,2.3,NA,1100
Eucalyptus vokesensis,7,11,2,5.4,NA,2219.9999999999995
Eucalyptus volcanica,10,19,1.3,3,NA,2078.333333333333
Eucalyptus wandoo,7.5,12.5,1,2.8,NA,1266.6666666666663
Eucalyptus websteriana,1.8,4.5,0.9,3,NA,409.49999999999994
Eucalyptus whitei,6,12,1.2,2,NA,959.9999999999999
Eucalyptus wilcoxii,5.5,15.5,0.7,2.2,NA,1015.0000000000001
Eucalyptus williamsiana,9,18,2,5,NA,3149.9999999999995
Eucalyptus willisii,6,17,0.7,2.3,NA,1149.9999999999998
Eucalyptus woodwardii,9.5,18.5,2,5,NA,3266.6666666666665
Eucalyptus woollsiana,7.5,13.5,0.6,1.5,NA,735
Eucalyptus wubinensis,7,10,0.8,1.4,NA,623.3333333333334
Eucalyptus wyolensis,5,10,3,6,NA,2249.9999999999995
Eucalyptus x balanites,6.5,13.5,0.9,1.8,NA,899.9999999999999
