range_names,meanMAT,meanMAP,meanAVP,meanbatpres,meanbirdrich,meanmarspres,medianlong
Angophora bakeri,17.151111111111145,1035.9233333333334,19.5058822407442,1,38.51190476190476,1,151.06
Angophora costata,17.008646616541387,1097.239097744361,17.516393426988945,1,35.967213114754095,1,151.15
Angophora floribunda,16.939932885906074,844.4036912751678,23.148788985084085,1,36.19931271477663,1,150.5
Angophora hispida,16.802083333333368,1088.4791666666667,16.427536259526793,1,37.829268292682926,1,151.0927565
Angophora inopina,17.954761904761938,1127.409523809524,16.933333444595338,1,35.388888888888886,1,151.57
Angophora leiocarpa,19.05189873417725,801.7113924050633,19.883116889309573,1,34.645161290322584,1,150.98333335
Angophora melanoxylon,20.254761904761942,455.5079365079365,14.116402152984861,0.9523809523809523,26.206349206349206,0.8571428571428571,146.7333333
Angophora robur,18.571428571428605,1181.5,24.64285707473755,1,37.57142857142857,1,152.92379375000002
Angophora subvelutina,17.375000000000036,987.0153846153846,29.253205207677986,1,38.067961165048544,1,152.12024000000002
Angophora woodsiana,19.355000000000032,1224.3925000000002,21.18421055141248,1,38.526315789473685,1,153.04622935
Corymbia abbreviata,27.575423728813597,905.0101694915255,9.028735621222134,1,20.576271186440678,0.864406779661017,129.3333
Corymbia abergiana,20.540697674418638,1523.7441860465117,17.542635773503502,1,39.04651162790697,1,145.5
Corymbia aparrerinja,23.574736842105295,359.71000000000004,12.228070201371846,0.28421052631578947,18.326315789473686,0.03684210526315789,134.0595801
Corymbia arafurica,27.192307692307725,1516.2326923076923,6.829787264478967,1,22.770833333333332,1,131.925
Corymbia arenaria,26.884782608695687,1206.621739130435,9.840579644493435,1,20.91304347826087,1,126.65
Corymbia arnhemensis,26.59130434782612,1409.5847826086958,10.304347779439842,1,22.73913043478261,1,132.90894809999998
Corymbia aspera,26.562987012987048,701.9512987012987,11.357456164924722,0.9477124183006536,19.784313725490197,0.5098039215686274,133.19106925
Corymbia aureola,21.79285714285717,665,18.33333342415946,1,29.571428571428573,1,148.1667
