apc_nosubsp,tree_names,range_names,subgenus,budsize_mm2,logbudsize_mm2,colours_all,colour_binary,colour_fullbinary,frtsize_mm2,medianlong,meanMAT,meanMAP,meanAVP,meanbirdrich,meanbatpres,meanbatpres_bin
Eucalyptus quadrans,Eucalyptus_quadrans,Eucalyptus quadrans,Symphyomyrtus,26.999999999999996,3.295836866004329,white_cream,0,0,41.25,121.10688385,16.09615384615388,385.33333333333337,6.837606839644603,20.743589743589745,0,0
Eucalyptus quadricostata,Eucalyptus_quadricostata,Eucalyptus quadricostata,Symphyomyrtus,50,3.912023005428146,white_cream,0,0,76,145.15446400000002,21.8192307692308,705.9346153846154,13.628205042618973,22.615384615384617,1,1
Eucalyptus quaerenda,Eucalyptus_quaerenda,Eucalyptus quaerenda,Symphyomyrtus,17.5,2.8622008809294686,white_cream,0,0,27,119.5,15.616666666666696,352.5416666666667,5.8787878860126845,21.666666666666668,0,0
Eucalyptus racemosa,Eucalyptus_racemosa,Eucalyptus racemosa,Eucalyptus,10,2.302585092994046,white_cream,0,0,24.750000000000004,151.4171302,17.115909090909124,1174.2513636363635,17.639024397222006,36.59605911330049,1,1
Eucalyptus radiata,Eucalyptus_radiata,Eucalyptus radiata,Eucalyptus,11.25,2.4203681286504293,white_cream,0,0,24.750000000000004,149.025,12.243351063829822,944.6523936170212,21.017969437365263,33.25668449197861,0.968,1
Eucalyptus rameliana,Eucalyptus_rameliana,Eucalyptus rameliana,Symphyomyrtus,651,6.478509642208569,red yellow,1,1,420.5,120.4730556,23.776086956521773,290.3391304347826,8.391304264897885,17.26086956521739,0.08695652173913043,0
Eucalyptus raveretiana,Eucalyptus_raveretiana,Eucalyptus raveretiana,Symphyomyrtus,6.125,1.8123787564307907,white_cream,0,0,2.25,148.51041035,22.479729729729765,836.8675675675677,19.990867595150046,31.5,1,1
Eucalyptus ravida,Eucalyptus_ravida,Eucalyptus ravida,Symphyomyrtus,57.75000000000001,4.056123349401903,white_cream,0,0,44,121.4666667,18.013636363636397,318.4575757575758,6.771043779874089,19.949494949494948,0,0
Eucalyptus recta,Eucalyptus_recta,Eucalyptus recta,Symphyomyrtus,150,5.0106352940962555,white_cream,0,0,90,117,18.210000000000036,368.62000000000006,4.266666650772095,21,0,0
Eucalyptus recurva,Eucalyptus_recurva,Eucalyptus recurva,Symphyomyrtus,15.749999999999998,2.756840365271642,white_cream,0,0,15,149.8832805,13.05000000000004,698.6333333333334,13.555555661519367,32.833333333333336,1,1
Eucalyptus redunca,Eucalyptus_redunca,Eucalyptus redunca,Symphyomyrtus,84,4.430816798843313,yellow,1,1,58.5,119.75833335,16.17647058823533,485.2058823529412,7.817204260057019,19.818181818181817,0,0
Eucalyptus regnans,Eucalyptus_regnans,Eucalyptus regnans,Eucalyptus,16.500000000000004,2.8033603809065353,white_cream,0,0,35.75,146.5016348,10.67575757575761,1018.3454545454546,23.68686881209865,24.696969696969695,0.6515151515151515,1
Eucalyptus relicta,NA,Eucalyptus relicta,Symphyomyrtus,44,3.784189633918261,white_cream,0,0,37.5,115.45,15.750000000000028,902.05,6,14,0,0
Eucalyptus remota,Eucalyptus_remota,Eucalyptus remota,Eucalyptus,17.5,2.8622008809294686,white_cream,0,0,60,136.9167,14.834848484848514,658.5575757575758,14.689655172413794,23,0.03448275862068965,0
Eucalyptus repullulans,NA,Eucalyptus repullulans,Symphyomyrtus,55.00000000000001,4.007333185232471,white_cream,0,0,76,118.5833333,23.83000000000003,369.0228571428571,15.47619036265782,16.4,0.8571428571428571,1
Eucalyptus resinifera,Eucalyptus_resinifera,Eucalyptus resinifera,Symphyomyrtus,72.5,4.283586561860629,white_cream,0,0,44,151.5,18.55563380281694,1368.4887323943665,20.990049792759457,36.634328358208954,1,1
Eucalyptus retinens,Eucalyptus_retinens,Eucalyptus retinens,Symphyomyrtus,34,3.5263605246161616,white_cream,0,0,63.75,151.9,12.79814814814818,908.7777777777778,26.20987651966236,38.148148148148145,1,1
Eucalyptus retusa,Eucalyptus_retusa,Eucalyptus retusa,Symphyomyrtus,NA,NA,green,1,1,68,119.4,16.450000000000017,641.1000000000001,NA,NA,NA,NA
Eucalyptus rhodantha,Eucalyptus_rhodantha,Eucalyptus rhodantha,Symphyomyrtus,1215,7.102499355774649,red,1,1,858,116.10835,18.735714285714327,401.17857142857144,5.214285663196018,22.428571428571427,0,0
Eucalyptus rhombica,Eucalyptus_rhombica,Eucalyptus rhombica,Symphyomyrtus,60.50000000000001,4.102643365036796,white_cream,0,0,72.25,151.07165485000002,18.99000000000003,691.34,23.93333339691162,33.6,1,1
Eucalyptus rhomboidea,Eucalyptus_rhomboidea,Eucalyptus rhomboidea,Symphyomyrtus,72,4.276666119016055,yellow,1,1,60,120.75,16.62500000000003,366.87500000000006,7.2499998807907104,19,0,0
Eucalyptus rigens,Eucalyptus_rigens,Eucalyptus rigens,Symphyomyrtus,108,4.68213122712422,white_cream,0,0,115.5,121.8,16.09000000000003,462.98,6.1333333651224775,20.133333333333333,0,0
Eucalyptus rigidula,Eucalyptus_rigidula,Eucalyptus rigidula,Symphyomyrtus,40,3.6888794541139363,white_cream,0,0,39.00000000000001,119.05763885,18.63464285714289,331.52857142857147,5.315217378346817,20.118705035971225,0.01079136690647482,0
Eucalyptus risdonii,Eucalyptus_risdonii,Eucalyptus risdonii,Eucalyptus,22,3.091042453358316,white_cream,0,0,60,147.375,12.050000000000033,584.2111111111111,17.03703721364339,13,0,0
Eucalyptus robusta,NA,Eucalyptus robusta,Symphyomyrtus,135,4.90527477843843,white_cream,0,0,117,152.6167,19.296315789473717,1285.9347368421054,17.809523849260238,34.3875,1,1
Eucalyptus rodwayi,Eucalyptus_rodwayi,Eucalyptus rodwayi,Symphyomyrtus,13.750000000000002,2.6210388241125804,white_cream,0,0,17.5,147.41497750000002,9.643589743589777,879.3551282051283,20.76754394330477,13.35897435897436,0,0
Eucalyptus rosacea,Eucalyptus_rosacea,Eucalyptus rosacea,Symphyomyrtus,90.99999999999999,4.51085950651685,red white_cream,0.5,1,36,123.53,19.184482758620724,269.5931034482759,8.459770120423416,15.310344827586206,0,0
Eucalyptus rossii,NA,Eucalyptus rossii,Eucalyptus,10,2.302585092994046,white_cream,0,0,22.5,149.45,13.67518518518522,731.1222222222223,16.97014931422561,35.681481481481484,1,1
Eucalyptus rowleyi,NA,Eucalyptus rowleyi,Symphyomyrtus,22,3.091042453358316,white_cream,0,0,41.25,120.3,26.057692307692346,352.5692307692308,9.333333308880146,16.692307692307693,0.4615384615384616,0
Eucalyptus roycei,Eucalyptus_roycei,Eucalyptus roycei,Eudesmia,166.25,5.113492679535963,white_cream,0,0,506.25,114.1,21.850000000000033,251.57777777777775,7.492753599001014,16.954545454545453,0.9545454545454546,1
Eucalyptus rubida,Eucalyptus_rubida,Eucalyptus rubida,Symphyomyrtus,28,3.332204510175204,white_cream,0,0,33.00000000000001,149,11.696122448979624,789.6534693877552,19.52479341404497,31.97131147540984,0.9098360655737704,1
Eucalyptus rubiginosa,Eucalyptus_rubiginosa,Eucalyptus rubiginosa,Eucalyptus,52.25000000000001,3.9560398908449206,white_cream,0,0,78.75,150.2924864,20.058000000000035,720.4440000000001,20.880000076293943,33.12,1,1
Eucalyptus rudderi,Eucalyptus_rudderi,Eucalyptus rudderi,Symphyomyrtus,7.5,2.0149030205422647,white_cream,0,0,15.75,152.4,17.450000000000035,1320.06,19.866666412353517,34,1,1
Eucalyptus rudis,Eucalyptus_rudis,Eucalyptus rudis,Symphyomyrtus,74.75,4.314149212270796,white_cream,0,0,63,116.16074515,17.103636363636397,646.4277272727273,7.540284337590656,19.013824884792623,0,0
Eucalyptus rugosa,Eucalyptus_rugosa,Eucalyptus rugosa,Symphyomyrtus,65,4.174387269895637,white_cream,0,0,68,137.34069449999998,15.755194805194842,493.9551948051948,17.877049195961874,26.025641025641026,0.25,0
Eucalyptus rugulata,Eucalyptus_rugulata,Eucalyptus rugulata,Symphyomyrtus,148,4.997212273764115,white_cream,0,0,95,119.8,16.01666666666669,358.83333333333337,4.111111164093018,20.333333333333332,0,0
Eucalyptus rummeryi,Eucalyptus_rummeryi,Eucalyptus rummeryi,Symphyomyrtus,12.5,2.5257286443082556,white_cream,0,0,16,152.8,17.283333333333367,1312.288888888889,26.925925996568463,38,1,1
Eucalyptus rupestris,NA,Eucalyptus rupestris,Symphyomyrtus,12,2.4849066497880004,white_cream,0,0,14,125.9,25.922000000000036,1211.884,8.84057967559151,20.52173913043478,1,1
Eucalyptus sabulosa,NA,Eucalyptus sabulosa,Symphyomyrtus,21,3.044522437723423,white_cream,0,0,17.5,142.36835000000002,13.112500000000036,611.3928571428572,20.083333339009965,34.67857142857143,0.7678571428571429,1
Eucalyptus salicola,Eucalyptus_salicola,Eucalyptus salicola,Symphyomyrtus,22.75,3.1245651453969594,white_cream,0,0,12.25,119.5336111,18.10514018691592,319.57663551401873,6.594059408301174,20.20560747663551,0,0
Eucalyptus saligna,Eucalyptus_saligna,Eucalyptus saligna,Symphyomyrtus,30,3.4011973816621555,white_cream,0,0,35.75,151.88335,16.268493150684964,1074.0308219178082,28.29314425312881,37.42253521126761,1,1
Eucalyptus salmonophloia,Eucalyptus_salmonophloia,Eucalyptus salmonophloia,Symphyomyrtus,19.25,2.9575110607337933,white_cream,0,0,18,118.6286111,17.79024896265564,337.74190871369296,5.8748242020104,20.676348547717843,0.00414937759336099,0
Eucalyptus salubris,Eucalyptus_salubris,Eucalyptus salubris,Symphyomyrtus,45,3.8066624897703196,white_cream,0,0,27,119.4515731,18.062962962963,324.7077777777778,5.8327137573057835,20.57037037037037,0.0037037037037037,0
Eucalyptus sargentii,Eucalyptus_sargentii,Eucalyptus sargentii,Symphyomyrtus,94.5,4.548599834499697,white_cream,0,0,62.99999999999999,117.47,17.631538461538497,349.66,5.142857157994831,21.29230769230769,0,0
Eucalyptus saxatilis,Eucalyptus_saxatilis,Eucalyptus saxatilis,Symphyomyrtus,80.75000000000001,4.3913579621027665,white_cream,0,0,99.00000000000001,148.3667,10.88333333333337,697.8666666666667,24.2592593299018,29.666666666666668,1,1
Eucalyptus scias,Eucalyptus_scias,Eucalyptus scias,Symphyomyrtus,145,4.976733742420574,white_cream,0,0,105,150.6728,15.677586206896589,1108.0172413793105,19.246913609681307,35.16981132075472,1,1
