range_names,Longitude,Latitude
Angophora costata,150.8406,-34.1364
Angophora costata,150.8666667,-32.8
Angophora costata,150.9833333,-34.13333333
Angophora costata,151.05,-34.15
Angophora costata,151.05,-33.96666667
Angophora costata,151.0803,-32.79
Angophora costata,151.1166667,-33.2
Angophora costata,151.15,-34.0833
Angophora costata,151.15,-33.8833
Angophora costata,151.1666667,-33.71666667
Angophora costata,151.1833333,-33.48333333
Angophora costata,151.2092,-33.6342
Angophora costata,151.2166667,-33.26666667
Angophora costata,151.2167,-34
Angophora costata,151.2666667,-33.85
Angophora costata,151.2666667,-33.78333333
Angophora costata,151.2666667,-33.5
Angophora costata,151.3167,-32.9167
Angophora costata,151.4167,-32.9667
Angophora costata,151.55,-33.25
Angophora costata,151.5666667,-32.86666667
Angophora costata,151.5833,-33.1667
Angophora costata,151.6333,-32.4833
Angophora costata,151.75,-32.7667
Angophora costata,151.95,-32.66666667
Angophora costata,151.9831,-32.7822
Angophora costata,152.1167,-32.75
Angophora costata,152.1831,-32.7203
Angophora costata,152.2167,-32.3833
Angophora costata,152.5166667,-32.43333333
Angophora costata,152.6166667,-31.83333333
Angophora costata,152.65,-31.7667
Angophora costata,152.7166667,-31.56666667
Angophora costata,152.8833333,-30.56666667
Angophora costata,152.9333333,-30.53333333
Angophora costata,152.9666667,-30.4
Angophora costata,152.9833333,-30.63333333
Angophora costata,152.9833333,-30.21666667
Angophora costata,153.0833333,-30.05
Angophora costata,153.1833,-29.9333
Angophora costata,153.2,-30.01666667
Angophora costata,153.2166667,-29.75
Angophora costata,153.2166667,-29.66666667
Angophora costata,153.3167,-29.0667
Angophora costata,153.3666667,-29.43333333
Angophora costata,150.6386,-32.9444
Angophora costata,150.65,-32.87
Angophora costata,150.67,-32.47
Angophora costata,150.68,-33.2
Angophora costata,150.6826036,-33.04224204
Angophora costata,150.6833,-32.9833
Angophora costata,150.7617,-33.4025
Angophora costata,150.785,-32.73586
Angophora costata,150.8509316,-32.74946243
Angophora costata,150.9167,-32.75
Angophora costata,150.95,-32.81666667
Angophora costata,150.9841667,-33.4686111
Angophora costata,151,-32.42
Angophora costata,151.02,-32.87
Angophora costata,151.0252778,-33.565
Angophora costata,151.15,-33.13
Angophora costata,151.15,-32.9333
Angophora costata,151.22,-32.77
Angophora costata,151.25,-33
Angophora costata,151.3167,-33.05
Angophora costata,151.32,-33.42
Angophora costata,151.3667,-33.5167
Angophora costata,151.3856278,-33.01645
Angophora costata,151.4092597,-33.05695936
Angophora floribunda,145.4175153,-17.58192953
Angophora floribunda,145.45,-17.5333
Angophora floribunda,145.4578,-17.6422
Angophora floribunda,145.4836256,-17.5777627
Angophora floribunda,145.5008474,-17.49859631
Angophora floribunda,145.7508447,-17.58192862
Angophora floribunda,146.02,-18.98
Angophora floribunda,146.1167,-19.0167
Angophora floribunda,146.35,-24.6833
Angophora floribunda,146.42,-24.5416667
Angophora floribunda,146.5633607,-23.96190775
Angophora floribunda,146.62,-24.1
Angophora floribunda,147.12,-24.75
Angophora floribunda,147.18,-24.83
Angophora floribunda,147.1925243,-24.87357031
Angophora floribunda,147.3091827,-23.57357186
Angophora floribunda,147.6064,-24.8561
Angophora floribunda,147.7525,-24.8106
Angophora floribunda,147.95,-26.45
Angophora floribunda,148.0091808,-24.94023316
Angophora floribunda,148.0167,-26.5333
Angophora floribunda,148.0602778,-24.91305555
Angophora floribunda,148.12,-25.05
Angophora floribunda,148.3667,-24.5333
Angophora floribunda,148.4167,-24.5
Angophora floribunda,148.4175068,-24.58189857
Angophora floribunda,148.5,-24.65
Angophora floribunda,148.57,-25.6
Angophora floribunda,148.5758414,-25.19023021
Angophora floribunda,148.78,-32.42
Angophora floribunda,148.7931327,-26.4308599
Angophora floribunda,148.8,-32.1167
Angophora floribunda,148.9,-31.4167
Angophora floribunda,148.9486,-31.2725
Angophora floribunda,149,-31.25
Angophora floribunda,149.0167,-30.7167
Angophora floribunda,149.05,-31.28333333
Angophora floribunda,149.0666667,-30.85
Angophora floribunda,149.07,-30.95
Angophora floribunda,149.12,-30.57
Angophora floribunda,149.15,-31.25
Angophora floribunda,149.1864,-25.3056
Angophora floribunda,149.2258259,-23.89022981
Angophora floribunda,149.25,-24.0333
Angophora floribunda,149.3167,-31.3333
Angophora floribunda,149.3333,-24.1667
Angophora floribunda,149.35,-31.125
Angophora floribunda,149.4,-24.28
Angophora floribunda,149.417491,-24.08189525
Angophora floribunda,149.4333333,-30.68333333
Angophora floribunda,149.45,-30.8
Angophora floribunda,149.47,-30.87
Angophora floribunda,149.4855083,-32.09616111
Angophora floribunda,149.5333333,-32.53333333
Angophora floribunda,149.5666667,-37.46666667
Angophora floribunda,149.5667,-36.6167
Angophora floribunda,149.5833333,-30.58333333
Angophora floribunda,149.5841624,-25.41522528
Angophora floribunda,149.6,-33.35
Angophora floribunda,149.6,-30.8
Angophora floribunda,149.6167,-25.35
Angophora floribunda,149.6467611,-36.66356389
Angophora floribunda,149.6559925,-25.49106404
Angophora floribunda,149.6667,-36.5917
